TARGETID,SURVEY
39633179014859151,sv2
39633179014858991,sv2
39633179014858123,sv2
39633179023245676,sv2
39633174782807658,sv2
39633179023245819,sv2
39633174782806257,sv2
39633174787000936,sv2
39633174782807547,sv2
39633174782807638,sv2
39633174786998361,sv2
39633174782807647,sv2
39633179023247763,sv2
39633140204965360,sv2
39633144592206454,sv2
39633140209157165,sv2
39633144596399226,sv2
39633140209156680,sv2
39633148958476590,sv2
39633148966865506,sv2
39633148958475821,sv2
39633148966865480,sv2
39633148966865461,sv2
39633148966864680,sv2
39633148966865064,sv2
39633148966864996,sv2
39633148966865172,sv2
39633153316356154,sv2
39633144596398986,sv2
39633144596399327,sv2
39633144596399857,sv2
39633144596398623,sv2
39633144592205387,sv2
39633153312161995,sv2
39633153312164026,sv2
39633153312162565,sv2
39633153316357146,sv2
39633153312165417,sv2
39633153316357260,sv2
39633153307969598,sv2
39633153316356227,sv2
39633153307970631,sv2
39633148962671431,sv2
39633148962672001,sv2
39633148962669222,sv2
39633148962671050,sv2
39633148962670490,sv2
39633148966863050,sv2
39633148962671979,sv2
39633148966863920,sv2
39633144592204594,sv2
39633144592206311,sv2
39633144592204387,sv2
39633148958476984,sv2
39633148962670389,sv2
39633157640685908,sv2
39633157640684862,sv2
39633153307967964,sv2
39633148958477615,sv2
39633148958475345,sv2
39633166239007090,sv2
39633161944040505,sv2
39633157640684418,sv2
39633157636492348,sv2
39633157640684250,sv2
39633161939848178,sv2
39633157636492817,sv2
39633157628103775,sv2
39633157632297412,sv2
39633153303776439,sv2
39633153303776707,sv2
39633157632296769,sv2
39633161939847908,sv2
39633157628103212,sv2
39633161944039573,sv2
39633157632295548,sv2
39633161939848010,sv2
39633157628103995,sv2
39633161944040997,sv2
39633157636490711,sv2
39633161944041447,sv2
39633161944043127,sv2
39633161944040480,sv2
39633161944041406,sv2
39633157632297332,sv2
39633157636489963,sv2
39633153303773368,sv2
39633153303775797,sv2
39633153303776292,sv2
39633153299582319,sv2
39633153307968860,sv2
39633157636490773,sv2
39633157636491451,sv2
39633157636491035,sv2
39633157636492540,sv2
39633153307968562,sv2
39633157670045438,sv2
39633157670046617,sv2
39633157670045355,sv2
39633157670046503,sv2
39633157670046252,sv2
39633153341525083,sv2
39633157674238249,sv2
39633157670045932,sv2
39633157665849869,sv2
39633157665851086,sv2
39633161977594419,sv2
39633153345716886,sv2
39633157670046421,sv2
39633153345716285,sv2
39633153341524692,sv2
39633153341524470,sv2
39633157674239559,sv2
39633157674238676,sv2
39633157674238967,sv2
39633166272561232,sv2
39633161977594132,sv2
39633161977595830,sv2
39633161977594742,sv2
39633161977594536,sv2
39633161977594604,sv2
39633161977594851,sv2
39633166272561571,sv2
39633161977594171,sv2
39633161977594520,sv2
39633161977596172,sv2
39633153345719044,sv2
39633157674241235,sv2
39633153345718446,sv2
39633157665852791,sv2
39633153341522855,sv2
39633161977596853,sv2
39633157670044461,sv2
39633161977596606,sv2
39633157670044497,sv2
39633157670043914,sv2
39633161981789698,sv2
39633157674237967,sv2
39633161981789647,sv2
39633148987837544,sv2
39633148992029312,sv2
39633153337328999,sv2
39633148992031019,sv2
39633153341524628,sv2
39633148996223386,sv2
39633144625758328,sv2
39633148996223547,sv2
39633148992031031,sv2
39633153337328754,sv2
39633153337328036,sv2
39633153337328012,sv2
39633153341523632,sv2
39633148992030440,sv2
39633148992029509,sv2
39633153337330466,sv2
39633153337329260,sv2
39633153337330018,sv2
39633153337330033,sv2
39633153337329574,sv2
39633153337328937,sv2
39633179044217399,sv2
39633179044218215,sv2
39633166276756745,sv2
39633174807970714,sv2
39633174807971676,sv2
39633170559140365,sv2
39633170559140134,sv2
39633174807971337,sv2
39633174807971160,sv2
39633166280953167,sv2
39633166276759125,sv2
39633170559141153,sv2
39633170559140514,sv2
39633170554948640,sv2
39633170559140236,sv2
39633174812164744,sv2
39633174812167120,sv2
39633170554948123,sv2
39633170554947704,sv2
39633170554946289,sv2
39633170550751454,sv2
39633170550753014,sv2
39633170550752532,sv2
39633170550751842,sv2
39633174807973460,sv2
39633174812164752,sv2
39633170559141549,sv2
39633166276757596,sv2
39633170554945814,sv2
39633170554946832,sv2
39633166276757879,sv2
39633170550753629,sv2
39633166276758677,sv2
39633170554948116,sv2
39633170559139930,sv2
39633170559141316,sv2
39633157674238607,sv2
39633161981790353,sv2
39633161981790770,sv2
39633161985982617,sv2
39633161981791127,sv2
39633166280951079,sv2
39633157674241793,sv2
39633161985984587,sv2
39633157678433095,sv2
39633157678434044,sv2
39633157678434426,sv2
39633166280950694,sv2
39633157678432576,sv2
39633161985983385,sv2
39633161985984085,sv2
39633161985985512,sv2
39633161985983910,sv2
39633157674238970,sv2
39633161985983252,sv2
39633161985984249,sv2
39633161985983747,sv2
39633166272562526,sv2
39633166276758062,sv2
39633161990179076,sv2
39633166280952687,sv2
39633161990177121,sv2
39633161990178322,sv2
39633166280952105,sv2
39633166285146707,sv2
39633161990177891,sv2
39633170508811735,sv2
39633170513003178,sv2
39633144600593147,sv2
39633148971060375,sv2
39633148971058575,sv2
